h,r,original_p_mask,J_count,JU_p_mask,JqV_count
0,0,00000,0,00000,0
0,1,00000,0,00000,0
0,2,03ffc,2,07ffe,0
0,3,fffff,12,0fffe,0
0,4,fffff,42,1fffe,0
0,5,fffff,112,3fffe,0
0,6,fffff,252,7fffe,0
0,7,fffff,504,ffffe,0
0,8,fffff,644,ffffe,0
0,9,fffff,712,ffffe,0
0,10,fffff,732,ffffe,0
0,11,fffff,712,ffffe,0
0,12,fffff,644,ffffe,0
0,13,fffff,504,ffffe,0
0,14,fffff,252,ffffc,0
0,15,fffff,112,ffff8,0
0,16,fffff,42,ffff0,0
0,17,fffff,12,fffe0,0
0,18,7ff80,2,fffc0,0
0,19,00000,0,00000,0
1,0,00000,0,00000,0
1,1,00000,0,00000,0
1,2,03ffc,1,000fe,0
1,3,fffff,7,0fffe,0
1,4,fffff,27,1fffe,0
1,5,fffff,77,3fffe,0
1,6,fffff,182,7fffe,0
1,7,fffff,378,ffffe,0
1,8,fffff,574,ffffe,21
1,9,fffff,678,ffffe,36
1,10,fffff,722,ffffe,46
1,11,fffff,722,ffffe,52
1,12,fffff,678,ffffe,55
1,13,fffff,574,ffffe,56
1,14,fffff,378,ffffc,56
1,15,fffff,182,ffff8,35
1,16,fffff,77,ffff0,20
1,17,fffff,27,fffe0,10
1,18,fffff,7,fffc0,4
1,19,fff00,1,03f80,1
2,0,00000,0,00000,0
2,1,00000,0,00000,0
2,2,00000,0,00000,0
2,3,fffff,4,001fe,0
2,4,fffff,19,1fffe,0
2,5,fffff,58,3fffe,0
2,6,fffff,142,7fffe,0
2,7,fffff,302,ffffe,0
2,8,fffff,463,ffffe,21
2,9,fffff,623,ffffe,71
2,10,fffff,703,ffffe,105
2,11,fffff,727,ffffe,126
2,12,fffff,703,ffffe,137
2,13,fffff,623,ffffe,141
2,14,fffff,463,ffffc,141
2,15,fffff,302,ffff8,120
2,16,fffff,142,ffff0,70
2,17,fffff,58,fffe0,36
2,18,fffff,19,fffc0,15
2,19,fffff,4,07f80,4
3,0,00000,0,00000,0
3,1,00000,0,00000,0
3,2,00000,0,00000,0
3,3,00000,0,00000,0
3,4,fffff,10,003fe,0
3,5,fffff,41,3fffe,0
3,6,fffff,111,7fffe,0
3,7,fffff,247,ffffe,0
3,8,fffff,387,ffffe,21
3,9,fffff,527,ffffe,71
3,10,fffff,663,ffffe,147
3,11,fffff,723,ffffe,195
3,12,fffff,723,ffffe,221
