h,r,original,replacement,augmented_U,augmented_V
0,0,00000,00000,00000,00000
0,1,00000,00000,00000,00000
0,2,03ffc,fffff,07ffe,07ffe
0,3,fffff,fffff,0fffe,0fffe
0,4,fffff,fffff,1fffe,1fffe
0,5,fffff,fffff,3fffe,3fffe
0,6,fffff,fffff,7fffe,7fffe
0,7,fffff,fffff,ffffe,ffffe
0,8,fffff,fffff,ffffe,ffffe
0,9,fffff,fffff,ffffe,ffffe
0,10,fffff,fffff,ffffe,ffffe
0,11,fffff,fffff,ffffe,ffffe
0,12,fffff,fffff,ffffe,ffffe
0,13,fffff,fffff,ffffe,ffffe
0,14,fffff,fffff,ffffc,ffffc
0,15,fffff,fffff,ffff8,ffff8
0,16,fffff,fffff,ffff0,ffff0
0,17,fffff,fffff,fffe0,fffe0
0,18,7ff80,fffff,fffc0,fffc0
0,19,00000,00000,00000,00000
1,0,00000,00000,00000,00000
1,1,00000,00000,00000,00000
1,2,03ffc,fffff,000fe,07f00
1,3,fffff,fffff,0fffe,0fffc
1,4,fffff,fffff,1fffe,1fffc
1,5,fffff,fffff,3fffe,3fffc
1,6,fffff,fffff,7fffe,7fffc
1,7,fffff,fffff,ffffe,ffffc
1,8,fffff,fffff,ffffe,ffffd
1,9,fffff,fffff,ffffe,ffffd
1,10,fffff,fffff,ffffe,ffffd
1,11,fffff,fffff,ffffe,ffffd
1,12,fffff,fffff,ffffe,ffffd
1,13,fffff,fffff,ffffe,ffffd
1,14,fffff,fffff,ffffc,ffffd
1,15,fffff,fffff,ffff8,ffff9
1,16,fffff,fffff,ffff0,ffff1
1,17,fffff,fffff,fffe0,fffe1
1,18,fffff,fffff,fffc0,fffc1
1,19,fff00,fffff,03f80,fc001
2,0,00000,00000,00000,00000
2,1,00000,00000,00000,00000
2,2,00000,00000,00000,00000
2,3,fffff,fffff,001fe,0ff00
2,4,fffff,fffff,1fffe,1fff8
2,5,fffff,fffff,3fffe,3fff8
2,6,fffff,fffff,7fffe,7fff8
2,7,fffff,fffff,ffffe,ffff8
